Item_ID,URL,Men/Women,Item_Name,Color,Details,Price
1,https://gflock.lk/collections/mens-all/products/crew-neck-t-shirt?variant=14147509485610,Men,Crew Neck T Shirt,"White, Light Blue, Teal, Pink, Green, Maroon, Dark Green, Mustard, Navy, Black","T-Shirt
Short Sleeve
Crew Neck
Material : Slub
Material Composition : 100% Cotton","Rs 1,450.00"
,https://gflock.lk/collections/mens-all/products/v-neck-t-shirt-1,Men,V Neck T Shirt,"White, Teal, Pink, Green,  Red, Navy, Black, Yellow","T-Shirt
Short Sleeve
V Neck
Material : Slub
Material Composition : 100% Cotton","Rs 1,450.00"
,https://gflock.lk/collections/mens-all/products/casual-chino-pant-1,Men,Casual Chino Pant,"Black, Beige, Navy, Grey, Brown","Pant
Chinos
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Fabric : Cotton
Material Composition : 97% Cotton , 2% Spandex",-
,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-linen-shirt-2,Men,Normal Collar Long Sleeve Linen Shirt,White,"Shirt
Long Sleeve
Normal Collar
One Pocket
Material : Linen
Material Composition : 100% Linen","Rs 2,950.00"
,https://gflock.lk/collections/mens-all/products/oxford-long-sleeve-shirt,Men,Oxford Long Sleeve Shirt,"White, Blue","Shirt
Long Sleeve
Normal Collar
One Pocket
Material : Cotton
Material Composition : 100% Cotton","Rs 2,450.00"
,https://gflock.lk/collections/mens-all/products/dark-washed-jean-3,Men,Dark Washed Jean,Blue,"Jean
Slim Fit
Ripped
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,950.00"
,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-linen-shirt-14,Men,Normal Collar Long Sleeve Linen Shirt,Red,"Shirt
Long Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 3,100.00"
,https://gflock.lk/collections/mens-all/products/normal-collar-short-sleeve-shirt-8,Men,Normal Collar Short Sleeve Shirt,Red,"Shirt
Short Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,700.00"
,https://gflock.lk/collections/mens-all/products/chinese-collar-long-sleeve-shirt-10,Men,Chinese Collar Long Sleeve Shirt,Blue,"Shirt
Long Sleeve
Chinese Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,850.00"
,https://gflock.lk/collections/mens-all/products/light-washed-ripped-jean-1,Men,Light Washed Ripped Jean,Blue,"Jean
Slim Fit
Ripped
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,950.00"
,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-shirt-16,Men,Normal Collar Long Sleeve Shirt,Beige,"Shirt
Long Sleeve
Normal Collar
One Pocket
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
,https://gflock.lk/collections/mens-all/products/normal-collar-short-sleeve-linen-shirt-15,Men,Normal Collar Short Sleeve Linen Shirt,Black,"Shirt
Short Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 2,750.00"
,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-shirt-18,Men,Normal Collar Long Sleeve Shirt,Light Green,"Shirt
Long Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
,https://gflock.lk/collections/mens-all/products/mid-wash-destroy-jean,Men,Mid Washed Destroy Jean,Blue,"Jean
Slim Fit
Ripped
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,950.00"
,https://gflock.lk/collections/mens-all/products/chinese-collar-long-sleeve-printed-shirt,Men,Chinese Collar Long Sleeve Printed Shirt,Blue,"Shirt
Long Sleeve
Chinese Collar
One Pocket
Material : Cotton
Material Composition : 100% Cotton","Rs 2,750.00"
,https://gflock.lk/collections/mens-all/products/checked-cotton-long-sleeve-shirt-3,Men,Checked Cotton Long Sleeve Shirt,Green,"Shirt
Long Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
,https://gflock.lk/collections/mens-shirts/products/normal-collar-short-sleeve-linen-shirt-21,Men,Normal Collar Short Sleeve Linen Shirt,Olive,"Shirt
Short Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 2,750.00"
,https://gflock.lk/collections/mens-shirts/products/chinese-collar-long-sleeve-linen-shirt-3,Men,Chinese Collar Long Sleeve Linen Shirt,Grey,"Shirt
Long Sleeve
Chinese Collar
Material : Linen
Material Composition : 100% Linen","Rs 2,950.00"
,https://gflock.lk/collections/mens-shirts/products/normal-collar-long-sleeve-linen-shirt-15,Men,Normal Collar Long Sleeve Linen Shirt,Light Blue,"Shirt
Long Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 3,100.00"
,https://gflock.lk/collections/mens-shirts/products/checked-cotton-long-sleeve-shirt-1,Men,Checked Cotton Long Sleeve Shirt,Blue,"Shirt
Long Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
,https://gflock.lk/collections/mens-jeans/products/blue-denim-short,Men,Mid Washed Ripped Short,Blue,"Short Length
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 2,900.00"
,https://gflock.lk/collections/mens-jeans/products/blue-ripped-denim-short,Men,Mid Washed Ripped Short,Blue,"Short Length
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 2,950.00"
,https://gflock.lk/collections/mens-jeans/products/denim-short,Men,Black Destroyed Short,Black,"Short Length
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,200.00"
,https://gflock.lk/collections/mens-jeans/products/black-ripped-jean,Men,Black Destroyed Jean,Black,"Jean
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,850.00"
,https://gflock.lk/collections/mens-jeans/products/deep-blue-raw-washed-jean,Men,Deep Blue Raw Washed Jean,Blue,"Jean
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex
","Rs 3,750.00"
,https://coolplanet.lk/product/mens-casual-t-shirt-hustle-blue-cp037-0nl/,Men,HUSTLE  BLUE,Blue,MENS CASUAL T-SHIRT,"Rs. 1,190.00"
,https://coolplanet.lk/product/mens-casual-t-shirt-hustle-black-cp042-onl/,Men,HUSTLE  BLACK ,Black,MENS CASUAL T-SHIRT,"Rs. 1,190.00"
,https://coolplanet.lk/product/king-street-green-striped-polo-t-shirt/,Men,King Street Green Striped Polo t-shirt,"Green, White",MENS CASUAL T-SHIRT,"Rs. 1,990.00"
,https://coolplanet.lk/product/king-street-navy-blue-striped-polo-t-shirt/,Men,King Street Navy Blue Striped Polo t-shirt,"White, Blue",King Street Navy Blue Striped Polo t-shirt for Men. MENS CASUAL T-SHIRT,"Rs. 1,290.00"
,https://coolplanet.lk/product/man-united-grey-and-maroon-crew-neck-t-shirt/,Men,Man United Grey and Maroon crew neck t-shirt,"Grey, Maroon",Man United Grey crew neck t-shirt for Men.,"Rs. 1,290.00"
