Item_ID,URL,Men/Women,Category,Item_Name,Color,Details,Price
1,https://gflock.lk/collections/mens-all/products/crew-neck-t-shirt?variant=14147509485610,Men,T-Shirt,Crew Neck T Shirt,"White, Light Blue, Teal, Pink, Green, Maroon, Dark Green, Mustard, Navy, Black","T-Shirt
Short Sleeve
Crew Neck
Material : Slub
Material Composition : 100% Cotton","Rs 1,450.00"
2,https://gflock.lk/collections/mens-all/products/v-neck-t-shirt-1,Men,T-Shirt,V Neck T Shirt,"White, Teal, Pink, Green,  Red, Navy, Black, Yellow","T-Shirt
Short Sleeve
V Neck
Material : Slub
Material Composition : 100% Cotton","Rs 1,450.00"
3,https://gflock.lk/collections/mens-all/products/casual-chino-pant-1,Men,Trouser,Casual Chino Pant,"Black, Beige, Navy, Grey, Brown","Pant
Chinos
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Fabric : Cotton
Material Composition : 97% Cotton , 2% Spandex",-
4,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-linen-shirt-2,Men,Shirt,Normal Collar Long Sleeve Linen Shirt,White,"Shirt
Long Sleeve
Normal Collar
One Pocket
Material : Linen
Material Composition : 100% Linen","Rs 2,950.00"
5,https://gflock.lk/collections/mens-all/products/oxford-long-sleeve-shirt,Men,Shirt,Oxford Long Sleeve Shirt,"White, Blue","Shirt
Long Sleeve
Normal Collar
One Pocket
Material : Cotton
Material Composition : 100% Cotton","Rs 2,450.00"
6,https://gflock.lk/collections/mens-all/products/dark-washed-jean-3,Men,Trouser,Dark Washed Jean,Blue,"Jean
Slim Fit
Ripped
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,950.00"
7,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-linen-shirt-14,Men,Shirt,Normal Collar Long Sleeve Linen Shirt,Red,"Shirt
Long Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 3,100.00"
8,https://gflock.lk/collections/mens-all/products/normal-collar-short-sleeve-shirt-8,Men,Shirt,Normal Collar Short Sleeve Shirt,Red,"Shirt
Short Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,700.00"
9,https://gflock.lk/collections/mens-all/products/chinese-collar-long-sleeve-shirt-10,Men,Shirt,Chinese Collar Long Sleeve Shirt,Blue,"Shirt
Long Sleeve
Chinese Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,850.00"
10,https://gflock.lk/collections/mens-all/products/light-washed-ripped-jean-1,Men,Trouser,Light Washed Ripped Jean,Blue,"Jean
Slim Fit
Ripped
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,950.00"
11,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-shirt-16,Men,Shirt,Normal Collar Long Sleeve Shirt,Beige,"Shirt
Long Sleeve
Normal Collar
One Pocket
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
12,https://gflock.lk/collections/mens-all/products/normal-collar-short-sleeve-linen-shirt-15,Men,Shirt,Normal Collar Short Sleeve Linen Shirt,Black,"Shirt
Short Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 2,750.00"
13,https://gflock.lk/collections/mens-all/products/normal-collar-long-sleeve-shirt-18,Men,Shirt,Normal Collar Long Sleeve Shirt,Light Green,"Shirt
Long Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
14,https://gflock.lk/collections/mens-all/products/mid-wash-destroy-jean,Men,Trouser,Mid Washed Destroy Jean,Blue,"Jean
Slim Fit
Ripped
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,950.00"
15,https://gflock.lk/collections/mens-all/products/chinese-collar-long-sleeve-printed-shirt,Men,Shirt,Chinese Collar Long Sleeve Printed Shirt,Blue,"Shirt
Long Sleeve
Chinese Collar
One Pocket
Material : Cotton
Material Composition : 100% Cotton","Rs 2,750.00"
16,https://gflock.lk/collections/mens-all/products/checked-cotton-long-sleeve-shirt-3,Men,Shirt,Checked Cotton Long Sleeve Shirt,Green,"Shirt
Long Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
17,https://gflock.lk/collections/mens-shirts/products/normal-collar-short-sleeve-linen-shirt-21,Men,Shirt,Normal Collar Short Sleeve Linen Shirt,Olive,"Shirt
Short Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 2,750.00"
18,https://gflock.lk/collections/mens-shirts/products/chinese-collar-long-sleeve-linen-shirt-3,Men,Shirt,Chinese Collar Long Sleeve Linen Shirt,Grey,"Shirt
Long Sleeve
Chinese Collar
Material : Linen
Material Composition : 100% Linen","Rs 2,950.00"
19,https://gflock.lk/collections/mens-shirts/products/normal-collar-long-sleeve-linen-shirt-15,Men,Shirt,Normal Collar Long Sleeve Linen Shirt,Light Blue,"Shirt
Long Sleeve
Normal Collar
Material : Linen
Material Composition : 100% Linen","Rs 3,100.00"
20,https://gflock.lk/collections/mens-shirts/products/checked-cotton-long-sleeve-shirt-1,Men,Shirt,Checked Cotton Long Sleeve Shirt,Blue,"Shirt
Long Sleeve
Normal Collar
Material : Cotton
Material Composition : 100% Cotton","Rs 2,950.00"
21,https://gflock.lk/collections/mens-jeans/products/blue-denim-short,Men,Short,Mid Washed Ripped Short,Blue,"Short Length
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 2,900.00"
22,https://gflock.lk/collections/mens-jeans/products/blue-ripped-denim-short,Men,Short,Mid Washed Ripped Short,Blue,"Short Length
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 2,950.00"
23,https://gflock.lk/collections/mens-jeans/products/denim-short,Men,Short,Black Destroyed Short,Black,"Short Length
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,200.00"
24,https://gflock.lk/collections/mens-jeans/products/black-ripped-jean,Men,Trouser,Black Destroyed Jean,Black,"Jean
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex","Rs 3,850.00"
25,https://gflock.lk/collections/mens-jeans/products/deep-blue-raw-washed-jean,Men,Trouser,Deep Blue Raw Washed Jean,Blue,"Jean
Slim Fit
Four Pockets
Loops On The Waist
Zip And One Button Fastening 
Material Composition : 97% Cotton , 2% Spandex
","Rs 3,750.00"
26,https://coolplanet.lk/product/mens-casual-t-shirt-hustle-blue-cp037-0nl/,Men,T-Shirt,HUSTLE  BLUE,Blue,MENS CASUAL T-SHIRT,"Rs. 1,190.00"
27,https://coolplanet.lk/product/mens-casual-t-shirt-hustle-black-cp042-onl/,Men,T-Shirt,HUSTLE  BLACK ,Black,MENS CASUAL T-SHIRT,"Rs. 1,190.00"
28,https://coolplanet.lk/product/king-street-green-striped-polo-t-shirt/,Men,T-Shirt,King Street Green Striped Polo t-shirt,"Green, White",MENS CASUAL T-SHIRT,"Rs. 1,990.00"
29,https://coolplanet.lk/product/king-street-navy-blue-striped-polo-t-shirt/,Men,T-Shirt,King Street Navy Blue Striped Polo t-shirt,Navy Blue,King Street Navy Blue Striped Polo t-shirt for Men. MENS CASUAL T-SHIRT,"Rs. 1,290.00"
30,https://coolplanet.lk/product/man-united-grey-and-maroon-crew-neck-t-shirt/,Men,T-Shirt,Man United Grey and Maroon crew neck t-shirt,"Grey, Maroon",Man United Grey crew neck t-shirt for Men.,"Rs. 1,290.00"
31,https://coolplanet.lk/product/man-united-polo-t-shirt-black-dark-gray/,Men,T-Shirt,Man United Polo T-shirt Dark Gray,Dark Grey,Man United Dark Gray polo t-shirt for Men. MENS CASUAL T-SHIRT ,"Rs.1,790.00"
32,https://gflock.lk/collections/women-all/products/printed-casual-dress-2,Women,Dress,Printed Casual Dress,"Printed, White, Pink","Dress
Front Buttoned
Shift
3/4 Sleeve
Casual Wear
Material : Viscose
Material Composition : 100% Viscose","Rs 2,950.00"
