,Lowerbody_Color,Lowerbody_Style,Lowerbody_Type,Photo_ID,Updated_Date,Upperbody_Color,Upperbody_Style,Upperbody_Type
0,red,Denim,trouser,1,1/14/2019,red,Regular,Jacket
0,-,-,-,2,12/16/2018,blue,LongSleeves,Shirt
0,-,-,-,3,12/17/2018,-,-,-
0,-,-,-,4,12/17/2018,-,-,-
0,-,-,-,5,12/17/2018,black,Regular,Suit
0,-,-,-,6,12/17/2018,black,Regular,Suit
0,-,-,-,7,12/17/2018,-,-,-
0,black,Denim,trouser,8,12/17/2018,cyan,LongSleeves,Shirt
0,black,Regular,trouser,9,12/17/2018,cyan,Regular,Suit
0,-,-,-,10,12/17/2018,white,Regular,Suit
0,black,Denim,trouser,11,11/30/2018,black,LongSleeves,Shirt
0,-,-,-,12,11/10/2018,black,Regular,T-Shirt
0,-,-,-,13,11/10/2018,-,-,-
0,blue,Denim,trouser,14,10/23/2018,black,Regular,T-Shirt
0,-,-,-,15,8/8/2018,-,-,-
0,-,-,-,16,7/28/2018,-,-,-
0,-,-,-,17,7/28/2018,black,Regular,T-Shirt
0,blue,Slim,trouser,18,7/21/2018,-,-,-
0,-,-,-,19,7/22/2018,blue,Regular,T-Shirt
0,-,-,-,20,7/21/2018,-,-,-
0,-,-,-,21,6/29/2018,-,-,-
0,-,-,-,22,6/29/2018,white,Regular,T-Shirt
0,-,-,-,23,6/24/2018,black,Regular,T-Shirt
0,-,-,-,24,6/3/2018,white,LongSleeves,Shirt
0,white,Denim,trouser,25,5/31/2018,black,Regular,Suit
0,black,Denim,trouser,26,5/26/2018,-,-,-
0,black,Denim,trouser,27,5/3/2018,-,-,-
0,-,-,-,28,4/28/2018,white,Regular,Suit
0,-,-,-,29,4/23/2018,white,Regular,Suit
0,-,-,-,30,3/31/2018,yellow,Regular,T-Shirt
0,-,-,-,31,2/8/2019,-,-,-
0,-,-,-,32,2/8/2019,white,Regular,Coat
0,-,-,-,33,2/8/2019,yellow,Regular,Suit
0,yellow,Denim,trouser,34,2/8/2019,white,Regular,Suit
0,white,Regular,trouser,35,2/8/2019,-,-,-
0,-,-,-,36,2/8/2019,-,-,-
0,white,Regular,Short,37,2/8/2019,black,Regular,Suit
0,-,-,-,38,1/18/2019,white,Regular,Jacket
0,-,-,-,39,1/18/2019,black,Regular,Jacket
0,-,-,-,40,12/15/2018,blue,LongSleeves,Shirt
0,-,-,-,41,12/16/2018,-,-,-
0,white,Denim,trouser,42,12/16/2018,cyan,LongSleeves,Shirt
0,-,-,-,43,7/21/2018,-,-,-
0,-,-,-,44,3/25/2018,white,Regular,T-Shirt
0,-,-,-,45,3/25/2018,-,-,-
0,yellow,Denim,trouser,46,3/25/2018,yellow,LongSleeves,Shirt
0,-,-,-,47,1/16/2018,red,Regular,T-Shirt
0,white,Denim,trouser,48,12/10/2017,-,-,-
0,red,Denim,trouser,49,10/1/2017,white,LongSleeves,T-Shirt
0,-,-,-,50,5/6/2017,black,Regular,T-Shirt
0,white,Denim,trouser,51,5/6/2017,-,-,-
0,-,-,-,52,10/11/2016,black,LongSleeves,Shirt
0,-,-,-,53,10/2/2016,-,-,-
0,red,Denim,trouser,54,6/11/2016,-,-,-
0,black,Denim,trouser,55,4/28/2016,red,LongSleeves,Shirt
0,-,-,-,56,3/22/2016,red,LongSleeves,T-Shirt
0,red,Denim,trouser,57,2/19/2016,red,LongSleeves,Shirt
0,black,Denim,trouser,58,2/6/2016,white,Regular,Suit
0,white,Denim,trouser,59,1/9/2016,cyan,Regular,T-Shirt
0,-,-,-,60,12/22/2016,black,Regular,T-Shirt
0,blue,Denim,trouser,61,10/28/2015,black,LongSleeves,T-Shirt
0,red,Slim,trouser,62,12/12/2015,-,-,-
0,-,-,-,63,11/21/2015,black,LongSleeves,Shirt
0,-,-,-,64,9/27/2015,-,-,-
0,-,-,-,65,2015/9/31,black,Regular,T-Shirt
0,white,Denim,trouser,66,2015/9/31,-,-,-
0,yellow,Denim,trouser,67,9/25/2015,red,Regular,Jacket
0,black,Denim,trouser,68,9/11/2015,-,-,-
0,black,Denim,trouser,69,6/21/2015,black,Regular,Jacket
0,-,-,-,70,3/13/2015,-,-,-
0,white,Denim,trouser,71,11/7/2014,black,Regular,T-Shirt
