,index,PhotoID,UploadedDate,Upper/Lower,dominant_colors,image,scores,style,type
0,0,1,2019/01/14,Upperbody,darkslategrey,49312091_2226032757428783_75909230514667520_n.jpg,0.8471271,Regular,Suit
1,1,1,2019/01/14,LowerBody,darkslategrey,49312091_2226032757428783_75909230514667520_n.jpg,0.84384227,Regular,trouser
2,0,2,2018/12/16,Upperbody,darkslategrey,49064728_2038349112910617_2499401603103064064_o.jpg,0.8622456,Regular,Suit
3,1,2,2018/12/16,LowerBody,darkslategrey,49064728_2038349112910617_2499401603103064064_o.jpg,0.02752998,Regular,Short
4,0,3,2018/12/17,Upperbody,skyblue,48386667_1173668692800990_2544085433533333504_o.jpg,0.27799892,Regular,Coat
5,1,3,2018/12/17,LowerBody,skyblue,48386667_1173668692800990_2544085433533333504_o.jpg,0.0059609953,Slim,trouser
6,0,4,2018/12/17,Upperbody,midnightblue,48388441_2484161141811252_6658251116226019328_o.jpg,0.626221,Polo,Shirt
7,1,4,2018/12/17,LowerBody,grey,48388441_2484161141811252_6658251116226019328_o.jpg,0.01529457,Regular,Short
8,0,5,2018/12/17,Upperbody,dimgrey,48361751_2484160431811323_8426771344225468416_o.jpg,0.9277136,Regular,Coat
9,1,5,2018/12/17,LowerBody,dimgrey,48361751_2484160431811323_8426771344225468416_o.jpg,0.0072295507,Denim,trouser
10,0,6,2018/12/17,Upperbody,darkslategrey,48371117_2484159555144744_3720947914776772608_o.jpg,0.7475732,Regular,Coat
11,1,6,2018/12/17,LowerBody,silver,48371117_2484159555144744_3720947914776772608_o.jpg,0.07361406,Regular,trouser
12,0,7,2018/12/17,Upperbody,slategray,48392839_2484159345144765_2690455797267169280_o.jpg,0.8039755,Polo,Shirt
13,1,7,2018/12/17,LowerBody,silver,48392839_2484159345144765_2690455797267169280_o.jpg,0.10522272,Slim,trouser
14,0,8,2018/12/17,Upperbody,slategray,48378741_2484159145144785_4608305398129098752_o.jpg,0.74024737,LongSleeves,Shirt
15,1,8,2018/12/17,LowerBody,darkolivegreen,48378741_2484159145144785_4608305398129098752_o.jpg,0.6722016,Regular,trouser
16,0,9,2018/12/17,Upperbody,lightslategrey,48954544_2484158805144819_7318824142982086656_o.jpg,0.7407401,Regular,Suit
17,1,9,2018/12/17,LowerBody,lightslategrey,48954544_2484158805144819_7318824142982086656_o.jpg,0.031642552,Regular,Short
18,0,10,2018/12/17,Upperbody,grey,48393763_10156898174911950_7707817668828463104_o.jpg,0.65027857,Regular,Coat
19,1,10,2018/12/17,LowerBody,darkslategrey,48393763_10156898174911950_7707817668828463104_o.jpg,0.048936177,Regular,Short
20,0,11,2018/11/30,Upperbody,darkslategrey,47185497_10156856659746950_3614273769096347648_n.jpg,0.747869,LongSleeves,Shirt
21,1,11,2018/11/30,LowerBody,rosybrown,47185497_10156856659746950_3614273769096347648_n.jpg,0.07526042,Denim,trouser
22,0,12,2018/11/10,Upperbody,dimgrey,45742636_10156808683571950_5704868814324236288_n.jpg,0.99905664,Regular,T-Shirt
23,1,12,2018/11/10,LowerBody,darkolivegreen,45742636_10156808683571950_5704868814324236288_n.jpg,0.009866135,Regular,Short
24,0,13,2018/11/10,Upperbody,tan,45721206_2384660734942666_9222704444318154752_n.jpg,0.9376037,Regular,T-Shirt
25,1,13,2018/11/10,LowerBody,black,45721206_2384660734942666_9222704444318154752_n.jpg,0.013012281,Regular,Short
26,0,14,2018/10/23,Upperbody,darkcyan,44654925_10156766793051950_4350838983660404736_n.jpg,0.9950258,Regular,T-Shirt
27,1,14,2018/10/23,LowerBody,black,44654925_10156766793051950_4350838983660404736_n.jpg,0.087611176,Regular,Short
28,0,15,2018/8/8,Upperbody,indianred,38834062_2611664652193005_2228746632558542848_n.jpg,0.0010714297,Polo,Shirt
29,1,15,2018/8/8,LowerBody,linen,38834062_2611664652193005_2228746632558542848_n.jpg,0.00039392142,Slim,trouser
30,0,16,2018/7/28,Upperbody,darkslategrey,37978451_523939368039581_1028317786021036032_n.jpg,0.10863791,Regular,Suit
31,1,16,2018/7/28,LowerBody,dimgrey,37978451_523939368039581_1028317786021036032_n.jpg,0.02269297,Regular,Short
32,0,17,2018/7/28,Upperbody,dimgrey,37829981_523928478040670_9002808707242786816_n.jpg,0.20474789,Regular,Shirt
33,1,17,2018/7/28,LowerBody,gainsboro,37829981_523928478040670_9002808707242786816_n.jpg,0.007910412,Denim,trouser
34,0,18,2018/7/21,LowerBody,dimgrey,37500571_514357528997765_1578144406739877888_n.jpg,0.90785426,Regular,trouser
35,1,18,2018/7/21,Upperbody,dimgrey,37500571_514357528997765_1578144406739877888_n.jpg,0.02043145,Regular,T-Shirt
36,0,19,2018/7/22,Upperbody,darkgray,37601702_10156536335631950_2751351840749649920_n.jpg,0.89330524,Regular,T-Shirt
37,1,19,2018/7/22,LowerBody,slategray,37601702_10156536335631950_2751351840749649920_n.jpg,0.0026816686,Slim,trouser
38,0,20,2018/7/21,Upperbody,midnightblue,37575227_514263875673797_6330417430753443840_n.jpg,0.10486091,Polo,Shirt
39,1,20,2018/7/21,LowerBody,lightblue,37575227_514263875673797_6330417430753443840_n.jpg,0.006614676,Slim,trouser
40,0,21,2018/6/29,Upperbody,midnightblue,36321788_1778370122241852_1915064275915767808_n.jpg,0.8944156,Regular,T-Shirt
41,1,21,2018/6/29,LowerBody,dimgrey,36321788_1778370122241852_1915064275915767808_n.jpg,0.015969079,Regular,Short
