,index,PhotoID,UploadedDate,Upper/Lower,dominant_colors,image,scores,style,type
0,0,1,1/14/2019,LowerBody,red,49312091_2226032757428783_75909230514667520_n.jpg,0.76751995,Denim,trouser
1,1,1,1/14/2019,Upperbody,red,49312091_2226032757428783_75909230514667520_n.jpg,0.76178104,Regular,Jacket
2,0,2,12/16/2018,Upperbody,blue,49064728_2038349112910617_2499401603103064064_o.jpg,0.31008348,LongSleeves,Shirt
3,1,2,12/16/2018,LowerBody,black,49064728_2038349112910617_2499401603103064064_o.jpg,0.13074008,Denim,trouser
4,0,3,12/17/2018,Upperbody,cyan,48386667_1173668692800990_2544085433533333504_o.jpg,0.29642728,Regular,Suit
5,1,3,12/17/2018,LowerBody,white,48386667_1173668692800990_2544085433533333504_o.jpg,0.0591111,Regular,trouser
6,0,4,12/17/2018,Upperbody,red,48388441_2484161141811252_6658251116226019328_o.jpg,0.23174927,LongSleeves,Shirt
7,1,4,12/17/2018,LowerBody,red,48388441_2484161141811252_6658251116226019328_o.jpg,0.18500967,Denim,trouser
8,0,5,12/17/2018,Upperbody,black,48361751_2484160431811323_8426771344225468416_o.jpg,0.5546664,Regular,Suit
9,1,5,12/17/2018,LowerBody,black,48361751_2484160431811323_8426771344225468416_o.jpg,0.065259844,Denim,trouser
10,0,6,12/17/2018,Upperbody,black,48371117_2484159555144744_3720947914776772608_o.jpg,0.45024383,Regular,Suit
11,1,6,12/17/2018,LowerBody,black,48371117_2484159555144744_3720947914776772608_o.jpg,0.1479539,Denim,trouser
12,0,7,12/17/2018,Upperbody,white,48392839_2484159345144765_2690455797267169280_o.jpg,0.18156844,Regular,T-Shirt
13,1,7,12/17/2018,LowerBody,black,48392839_2484159345144765_2690455797267169280_o.jpg,0.14931461,Regular,Short
14,0,8,12/17/2018,LowerBody,black,48378741_2484159145144785_4608305398129098752_o.jpg,0.7456781,Denim,trouser
15,1,8,12/17/2018,Upperbody,cyan,48378741_2484159145144785_4608305398129098752_o.jpg,0.4451074,LongSleeves,Shirt
