,index,PhotoID,UploadedDate,Upper/Lower,dominant_colors,image,scores,style,type
0,0,72,11/24/2018,Upperbody,white,46523845_2155254804737011_6846373217821523968_n.jpg,0.4163742,Regular,Jacket
1,1,72,11/24/2018,LowerBody,black,46523845_2155254804737011_6846373217821523968_n.jpg,0.2730907,Denim,trouser
2,0,73,11/17/2018,LowerBody,black,46412689_2151487418447083_4619769477590941696_n.jpg,0.34019297,Denim,trouser
3,1,73,11/17/2018,Upperbody,red,46412689_2151487418447083_4619769477590941696_n.jpg,0.22769062,Formal,Top
4,0,74,11/17/2018,Upperbody,black,46353039_2151486035113888_4066725651489488896_n.jpg,0.4965381,Party,Dress
5,1,74,11/17/2018,LowerBody,red,46353039_2151486035113888_4066725651489488896_n.jpg,0.3454039,Long,Skirt
6,0,75,11/17/2018,LowerBody,black,46389711_2151485991780559_7614577128582938624_n.jpg,0.7084253,Long,Skirt
7,1,75,11/17/2018,Upperbody,black,46389711_2151485991780559_7614577128582938624_n.jpg,0.343412,Formal,Dress
8,0,76,10/29/2018,LowerBody,white,44948691_2140910416171450_2721401891333341184_n.jpg,0.6482986,Denim,trouser
9,1,76,10/29/2018,Upperbody,red,44948691_2140910416171450_2721401891333341184_n.jpg,0.6388924,Party,Dress
10,0,77,10/27/2018,Upperbody,white,43610556_2139725446289947_7500968891347107840_n.jpg,0.7103802,Party,Dress
11,1,77,10/27/2018,LowerBody,white,43610556_2139725446289947_7500968891347107840_n.jpg,0.40459988,Long,Skirt
12,0,78,9/27/2018,LowerBody,black,42660502_2124079907854501_1460149053684711424_n.jpg,0.2713986,Denim,trouser
13,1,78,9/27/2018,Upperbody,white,42660502_2124079907854501_1460149053684711424_n.jpg,0.25015536,Party,Dress
14,0,79,7/22/2018,Upperbody,black,37637315_2071186409810518_8985993472192282624_n.jpg,0.23854493,Formal,Top
15,1,79,7/22/2018,LowerBody,black,37637315_2071186409810518_8985993472192282624_n.jpg,0.20490293,Regular,Short
16,0,80,6/11/2018,LowerBody,white,34963665_2033256083603551_8354529294227079168_n.jpg,0.29362312,Long,Skirt
17,1,80,6/11/2018,Upperbody,black,34963665_2033256083603551_8354529294227079168_n.jpg,0.13021119,Regular,Coat
18,0,81,4/3/3018,Upperbody,yellow,29684171_2002052180057275_4618278442451916851_n.jpg,0.6666801,Party,Dress
19,1,81,4/3/3018,LowerBody,red,29684171_2002052180057275_4618278442451916851_n.jpg,0.5153211,Long,Skirt
