filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,194,259,T-Shirt_LongSleeves,28,76,162,247
10.jpg,732,1024,T-Shirt_LongSleeves,143,260,588,852
2.jpg,183,275,T-Shirt_LongSleeves,26,69,161,245
3.jpg,206,245,T-Shirt_LongSleeves,38,62,160,208
4.jpg,196,257,T-Shirt_LongSleeves,6,13,189,247
5.jpg,183,276,T-Shirt_LongSleeves,34,78,161,264
6.jpg,197,256,T-Shirt_LongSleeves,19,24,177,210
7.jpg,201,251,T-Shirt_LongSleeves,43,69,177,241
8.jpg,225,225,T-Shirt_LongSleeves,32,16,196,211
9.jpg,362,200,T-Shirt_LongSleeves,100,54,270,186
