filename,width,height,class,xmin,ymin,xmax,ymax
trouser_Regular_1.jpg,856,1280,trouser_Regular,215,113,769,1236
trouser_Regular_10.jpg,334,500,trouser_Regular,35,29,220,416
trouser_Regular_2.jpg,426,568,trouser_Regular,63,48,329,510
trouser_Regular_3.jpg,450,675,trouser_Regular,90,4,388,644
trouser_Regular_4.jpg,375,375,trouser_Regular,106,1,308,374
trouser_Regular_5.jpg,768,1024,trouser_Regular,150,21,639,1010
trouser_Regular_6.jpg,420,560,trouser_Regular,103,3,352,515
trouser_Regular_7.jpg,320,320,trouser_Regular,78,1,251,305
trouser_Regular_8.jpg,500,500,trouser_Regular,152,9,372,499
trouser_Regular_9.jpg,424,612,trouser_Regular,99,11,328,580
