,filename,width,height,class,xmin,ymin,xmax,ymax
1,000009.jpg,484,768,Shirt_Regular,216,157,314,352
4,000009.jpg,484,768,trouser_Slim,180,421,319,680
8,000010.jpg,500,750,trouser_Denim,56,356,441,748
10,000012.jpg,266,400,Tie,128,130,157,286
14,000030.jpg,266,400,Dress_Formal,92,127,189,294
15,000030.jpg,266,400,High-Heel,105,336,142,372
16,000030.jpg,266,400,High-Heel,147,327,189,366
17,000040.jpg,500,751,Dress_Formal,124,183,305,494
20,000042.jpg,267,400,Dress_Party,90,129,181,280
21,000042.jpg,267,400,High-Heel,143,346,179,395
22,000042.jpg,267,400,High-Heel,116,347,148,393
24,000049.jpg,500,751,Tie,178,296,302,579
27,000055.jpg,266,400,Sandal,141,363,174,397
28,000055.jpg,266,400,Sandal,72,352,133,384
29,000060.jpg,267,400,Dress_Party,59,68,212,398
31,000061.jpg,266,400,Sandal,152,358,188,388
32,000061.jpg,266,400,Sandal,132,349,157,383
33,000062.jpg,500,750,Coat_Regular,119,195,350,599
34,000062.jpg,500,750,trouser_Slim,167,488,369,750
35,000074.jpg,500,750,Coat_Regular,192,184,379,424
38,000083.jpg,266,400,Dress_Casual,60,72,189,301
39,000083.jpg,266,400,Sandal,97,367,131,400
40,000083.jpg,266,400,Sandal,129,363,164,400
41,000101.jpg,260,400,Dress_Formal,84,120,212,313
44,000107.jpg,267,400,Top_Casual,84,120,186,311
47,000114.jpg,266,400,Top_Casual,93,127,183,309
48,000114.jpg,266,400,Sandal,106,362,149,387
49,000114.jpg,266,400,Sandal,177,368,206,398
50,000117.jpg,267,400,Coat_Regular,79,121,183,274
51,000117.jpg,267,400,trouser_Slim,105,247,170,354
52,000117.jpg,267,400,Coat_Regular,160,212,233,320
55,000119.jpg,266,400,Dress_Formal,73,117,162,327
56,000119.jpg,266,400,Dress_Formal,171,122,240,347
57,000119.jpg,266,400,High-Heel,78,363,101,400
58,000119.jpg,266,400,High-Heel,108,356,145,395
59,000124.jpg,266,400,Dress_Formal,115,112,201,298
60,000124.jpg,266,400,Sandal,146,343,175,373
61,000144.jpg,500,750,Top_Casual,107,190,272,395
62,000144.jpg,500,750,Skirt_Short,118,291,281,530
64,000144.jpg,500,750,Shirt_LongSleeves,242,192,390,378
67,000144.jpg,500,750,Sandal,147,633,201,706
68,000144.jpg,500,750,Sandal,218,632,275,708
69,000169.jpg,266,400,Dress_Party,94,109,205,263
70,000169.jpg,266,400,High-Heel,123,341,143,384
71,000169.jpg,266,400,High-Heel,143,344,174,387
72,000183.jpg,267,400,Top_Casual,94,124,182,254
73,000183.jpg,267,400,Sandal,76,379,121,400
74,000183.jpg,267,400,Sandal,128,364,160,393
75,000186.jpg,267,400,Top_Formal,26,111,199,330
76,000186.jpg,267,400,Skirt_Short,48,209,177,400
77,000190.jpg,500,750,Dress_Casual,160,212,349,657
79,000212.jpg,500,750,Dress_Formal,141,190,320,588
80,000215.jpg,469,768,Dress_Party,142,164,308,504
81,000233.jpg,500,750,Dress_Casual,184,219,342,508
82,000233.jpg,500,750,Sandal,203,662,304,715
84,000246.jpg,267,400,trouser_Denim,88,197,183,369
87,000246.jpg,267,400,Tie,114,104,146,163
88,000251.jpg,500,750,Dress_Casual,152,168,351,570
91,000252.jpg,500,750,T-Shirt_LongSleeves,145,175,349,431
96,000253.jpg,500,750,Tie,209,222,308,442
97,000253.jpg,500,750,trouser_Denim,32,364,476,653
101,000259.jpg,267,400,Tie,107,125,159,274
103,000265.jpg,266,400,Top_Casual,45,79,146,251
104,000265.jpg,266,400,Shirt_LongSleeves,100,57,220,206
106,000265.jpg,266,400,trouser_Denim,60,199,154,383
109,000288.jpg,266,400,Dress_Casual,81,90,200,303
110,000288.jpg,266,400,Sandal,124,372,165,400
111,000288.jpg,266,400,Sandal,179,361,229,396
112,000295.jpg,500,750,Dress_Casual,124,240,308,641
113,000295.jpg,500,750,High-Heel,166,664,228,738
114,000295.jpg,500,750,High-Heel,224,657,270,728
115,000299.jpg,267,400,Dress_Party,76,131,215,400
116,000305.jpg,266,400,Dress_Casual,83,120,186,324
117,000305.jpg,266,400,Sandal,106,349,145,391
118,000305.jpg,266,400,Sandal,141,352,180,396
119,000308.jpg,266,400,Dress_Casual,83,122,175,272
120,000308.jpg,266,400,Sandal,105,352,131,391
121,000308.jpg,266,400,Sandal,123,346,156,383
122,000325.jpg,500,750,Dress_Party,176,123,353,598
123,000325.jpg,500,750,High-Heel,140,630,227,728
124,000325.jpg,500,750,High-Heel,262,618,333,712
125,000389.jpg,500,750,Dress_Casual,169,192,363,626
126,000389.jpg,500,750,Sandal,226,661,270,728
127,000389.jpg,500,750,Sandal,257,661,310,736
128,000409.jpg,500,751,Coat_Regular,75,227,375,649
129,000413.jpg,500,750,Dress_Casual,168,204,355,547
130,000413.jpg,500,750,Sandal,205,681,282,729
131,000413.jpg,500,750,Sandal,292,665,393,723
132,000417.jpg,267,400,Top_Casual,70,133,176,288
135,000424.jpg,500,750,T-Shirt_LongSleeves,159,121,372,411
137,000436.jpg,266,400,Dress_Casual,27,113,251,400
138,000440.jpg,500,500,Top_Formal,160,154,500,483
139,000452.jpg,267,400,Shirt_LongSleeves,32,133,230,340
140,000455.jpg,266,400,Coat_Regular,72,110,180,231
141,000455.jpg,266,400,Short_Regular,105,113,146,202
142,000455.jpg,266,400,Skirt_Short,86,195,169,315
145,000456.jpg,257,400,Dress_Casual,80,84,178,286
146,000456.jpg,257,400,Sandal,122,348,152,386
147,000456.jpg,257,400,Sandal,118,331,166,360
148,000469.jpg,420,630,Top_Casual,153,203,296,341
150,000472.jpg,500,750,Dress_Formal,129,211,435,746
151,000475.jpg,266,400,Dress_Casual,46,78,170,331
152,000475.jpg,266,400,Sandal,103,347,134,392
153,000475.jpg,266,400,Sandal,88,334,114,377
154,000476.jpg,500,500,Jacket_Regular,205,106,436,368
155,000476.jpg,500,500,T-Shirt_Regular,261,91,370,356
157,000480.jpg,500,750,Dress_Casual,91,287,451,750
158,000487.jpg,267,400,Coat_Regular,86,127,193,252
159,000487.jpg,267,400,Skirt_Short,95,195,181,311
160,000487.jpg,267,400,High-Heel,88,354,116,391
161,000487.jpg,267,400,High-Heel,126,346,151,386
162,000503.jpg,267,400,Dress_Casual,91,124,187,277
163,000503.jpg,267,400,High-Heel,142,357,167,394
164,000503.jpg,267,400,High-Heel,116,348,144,390
165,000509.jpg,267,400,Dress_Party,86,111,168,281
166,000509.jpg,267,400,High-Heel,122,332,154,374
167,000509.jpg,267,400,High-Heel,106,331,136,372
168,000512.jpg,500,750,Dress_Casual,82,133,444,722
169,000527.jpg,267,400,Dress_Formal,76,123,213,309
172,000579.jpg,469,768,Dress_Formal,157,126,354,608
173,000579.jpg,469,768,High-Heel,128,676,201,768
174,000579.jpg,469,768,High-Heel,274,640,351,740
175,000612.jpg,267,400,Coat_Regular,49,131,226,356
176,000612.jpg,267,400,T-Shirt_Regular,67,131,194,332
177,000614.jpg,500,751,Dress_Formal,150,217,347,555
179,000622.jpg,266,400,Dress_Casual,88,117,194,309
180,000622.jpg,266,400,trouser_Slim,105,262,175,355
